Test acc,Training acc,Test time,Training time,Epochs,Training size,Batchsize,Learning rate,Momentum,EpochLrDecrease,Backprop prob,Seed,Hidden Units1
88,96.53402,4.56E-05,0.0106781,9,779,22,0.0043023303,0.43393782,0.8676189,0.9480656,91154,41
92,94.08818,5.53E-05,0.0125287,8,998,27,0.0054913526,0.30353078,0.8923808,0.9415237,13436,40
90,94.18282,0.0001292,0.0125791,10,722,22,0.0033343364,0.4988029,0.81449115,0.99122536,38334,43
90,98.384926,4.99E-05,0.0109412,8,743,19,0.0063915583,0.39506352,0.8553201,0.9573462,16297,39
87,96.72668,0.0001151,0.0061625,7,611,30,0.0058328803,0.5041369,0.84043705,0.8078093,11525,40
87,94.965034,6.08E-05,0.0092332,8,715,23,0.003417154,0.38676363,0.8902916,0.96207696,52506,41
89,97.7433,5.09E-05,0.0110959,9,709,20,0.005830502,0.50776017,0.8039009,0.96856284,30991,50
89,96.54631,6.81E-05,0.0122676,9,637,10,0.0064116186,0.31167015,0.8148387,0.8505087,53891,40
88,97.030754,5.97E-05,0.0167866,10,943,20,0.0043868735,0.46297556,0.8250733,0.9194728,37135,46
86,97.70992,4.14E-05,0.0162776,10,786,11,0.005300089,0.40327755,0.83046645,0.817349,81625,48
85,93.625496,4.97E-05,0.0066809,7,502,23,0.0043121325,0.55563253,0.8746749,0.9830639,74687,49
84,97.3384,3.82E-05,0.0068838,9,526,15,0.004676605,0.5228318,0.80519277,0.84586114,44578,32
86,98.67987,6.45E-05,0.0118461,10,606,14,0.004831844,0.54405403,0.8362283,0.8950773,24414,43
89,96.98276,5.46E-05,0.0086727,9,696,30,0.0066150445,0.33733198,0.85698384,0.92323315,32060,30
91,94.508675,7.03E-05,0.0084693,8,692,25,0.0035194126,0.47160238,0.8666427,0.88325596,16170,42
88,97.91667,6.46E-05,0.0056195,6,624,26,0.0068695615,0.5178845,0.8623695,0.8728926,59244,31
87,96.77072,5.92E-05,0.0112919,9,929,28,0.006182728,0.36176023,0.8403058,0.93431956,22135,30
90,98.49624,4.72E-05,0.0105322,9,931,28,0.005312505,0.58355606,0.86367184,0.84363234,62290,39
90,93.31352,6.98E-05,0.0119887,7,673,10,0.004244807,0.31477755,0.80161375,0.94731396,77856,44
90,98.6711,7.04E-05,0.0127176,8,903,25,0.006319553,0.56014854,0.8126638,0.945093,89976,47
85,96.53379,3.93E-05,0.0052706,6,577,15,0.005061995,0.56428504,0.84442705,0.8313513,9144,34
85,96.32588,4.93E-05,0.0079578,10,626,18,0.0040656854,0.5498398,0.813687,0.8489106,37821,32
87,97.11846,6.38E-05,0.0133657,9,937,28,0.006727047,0.4548043,0.801611,0.88807905,42451,39
90,94.42446,5.37E-05,0.0055937,8,556,27,0.004108248,0.49377444,0.8334849,0.80541456,19820,37
88,96.10951,5.28E-05,0.0069167,8,694,27,0.006073438,0.49568167,0.87393993,0.8554688,61063,38
82,93.264244,6.57E-05,0.0078108,7,579,18,0.003506741,0.32414025,0.86155444,0.87997717,39243,46
87,96.32107,6.14E-05,0.0119655,8,897,22,0.0049781655,0.54598767,0.8622898,0.9905012,7127,43
91,96.088264,5.96E-05,0.011865,7,997,20,0.0056634755,0.528057,0.86997736,0.927373,23997,46
84,92.68293,4.17E-05,0.006027,7,533,29,0.0049524102,0.30254894,0.8032598,0.9724479,18220,48
86,96.83544,6.04E-05,0.0129165,8,790,11,0.0043293545,0.5688549,0.85471624,0.9500063,2088,40
84,98.37838,4.42E-05,0.006612,9,555,29,0.005963963,0.41337034,0.88914186,0.9127001,16876,36
84,96.78973,4.62E-05,0.0075629,8,623,18,0.005313468,0.57574594,0.8787992,0.95572686,8442,37
86,97.02259,5.63E-05,0.0155467,8,974,12,0.006948902,0.32231188,0.81411874,0.9152553,83725,42
89,95.09306,5.68E-05,0.007773,10,591,30,0.004054377,0.5178952,0.83058983,0.9020273,50065,38
84,98.55234,6.62E-05,0.0161112,10,898,14,0.0068979408,0.47830182,0.82557696,0.9694993,22194,41
86,96.11651,5.46E-05,0.0097683,8,824,25,0.006863677,0.4237605,0.8210598,0.8816527,40276,42
87,97.3262,5.33E-05,0.0100077,10,561,13,0.003701334,0.41974083,0.89077306,0.8648183,43501,35
87,93.126686,7.54E-05,0.0094121,7,742,22,0.004586068,0.3282582,0.8685541,0.8498857,23093,44
88,96.75978,4.92E-05,0.0085568,6,895,26,0.005454688,0.5609217,0.8915994,0.8395414,54965,49
90,96.01707,5.12E-05,0.0078579,7,703,21,0.006962746,0.3036017,0.8943749,0.93005794,94842,39
89,95.70871,4.67E-05,0.0070246,6,769,18,0.006031883,0.4554877,0.8502794,0.85202104,33619,39
84,93.52941,6.22E-05,0.0064845,6,510,14,0.0032284774,0.48072827,0.8516957,0.8938073,35548,44
89,97.28,5.09E-05,0.0070662,8,625,20,0.0040661516,0.55924106,0.89393026,0.85162854,45329,40
88,97.402596,4.9E-05,0.0086038,7,847,21,0.0049202484,0.57125044,0.8702838,0.906381,9725,37
88,95.70447,3.67E-05,0.0066337,9,582,28,0.0061410135,0.5688549,0.800773,0.9703126,69813,35
84,94.606255,4.81E-05,0.012271,9,927,18,0.0043571973,0.33740786,0.8210605,0.95884323,82319,34
87,97.70701,4.51E-05,0.0090308,6,785,16,0.0051933415,0.5350516,0.84457403,0.9866405,54231,48
87,97.170975,4.77E-05,0.0097485,8,813,26,0.006650638,0.3224422,0.89836705,0.98323655,3731,31
86,98.7988,4.57E-05,0.0094918,8,666,15,0.006709825,0.58869696,0.82862633,0.86189437,34369,48
88,93.57639,4.95E-05,0.0083979,6,576,11,0.0045908373,0.3595372,0.86353785,0.9656446,9618,40
86,92.464355,4.51E-05,0.0082718,6,982,24,0.004209779,0.39867005,0.8791155,0.94339633,6753,34
84,94.63987,5.24E-05,0.0123645,10,597,13,0.0036917431,0.35751706,0.83727914,0.9956505,81545,41
85,93.564354,6.96E-05,0.0062359,6,606,20,0.0033997013,0.35491627,0.87216294,0.8201142,19957,50
89,95.20725,3.66E-05,0.0060859,7,772,21,0.0049531655,0.5368381,0.8227041,0.83724195,98371,32
89,96.84625,4.44E-05,0.0091642,9,761,26,0.0035531975,0.56479615,0.8872674,0.85813415,10926,37
87,97.65259,6.65E-05,0.0086772,9,639,30,0.006152898,0.4667394,0.8306586,0.893215,92379,46
83,97.281555,5.35E-05,0.0075242,8,515,21,0.006731677,0.49368238,0.8960192,0.91842866,66689,47
83,95.2596,3.81E-05,0.0123468,10,886,17,0.003114219,0.30994856,0.87369657,0.81946963,85547,33
88,96.97309,5.07E-05,0.0159699,7,892,11,0.0053706043,0.30535114,0.8763951,0.9002762,78928,49
81,95.61753,6.36E-05,0.0058806,8,502,29,0.0052212626,0.38796145,0.8284127,0.8563533,89723,50
85,96.61319,3.54E-05,0.0062939,6,561,10,0.0066365954,0.31987387,0.8350152,0.80972075,92085,34
90,94.53238,4.23E-05,0.0067352,8,695,28,0.005085911,0.35592425,0.87394303,0.88936055,16230,35
84,94.10151,5.39E-05,0.0090495,6,729,11,0.004360694,0.3949261,0.8320485,0.83793265,70675,40
